X3 Customer Number,C000635,,,,,,,,,
Company Name,Wallboard Trim & Tool Inc,,,,,,,,,
,,,,,,,,,,
Item Code,Item Description,Length,Pieces / Box+,Boxes / Pallet,Ship Weight,Qty Break,Price ($/Box),Price ($/mft),MSRP ($/Box),MSRP ($/mft)
093V,093V Expansion 10' 20pc,10,20,80,14,All Qtys,53.83,269.15,79.21,396.05
093V-C,093V Cross (C) Intersection,,10,50,1,All Qtys,160.05,16.005,235.51,32.97
093V-IC,093V IC Intersection  4in 10pc,,10,50,1,All Qtys,103.77,10.377,152.69,21.38
093V-OC,093V OC Intersection 4in 10pc,,10,999,1,All Qtys,103.77,10.377,152.69,21.38
093V-T,093V T Intersection  4in 10pc,,10,999,1,All Qtys,103.77,10.377,152.69,21.38
093X-V,Fire Rated 093V Expansion,10,20,80,19,All Qtys,363.99,1819.95,535.6,2678
093X-V-C,093X-V Cross (C) Intersection,,10,40,1,All Qtys,398.61,39.861,586.54,82.12
093X-V-IC,093X-V IC Intersection,,10,999,1,All Qtys,297.76,29.776,438.14,61.34
093X-V-OC,093X-V OC Intersection,,10,999,1,All Qtys,297.76,29.776,438.14,61.34
093X-V-T,093X-V T Intersection,,10,999,1,All Qtys,351.47,35.147,517.17,72.4
1010,"3/8"" J Bead 10' 50pc",10,50,96,17,All Qtys,39.39,78.78,57.96,115.92
1025,Standard Flange Casing Bead ,10,75,20,52.7,1+,286.16,381.55,440.25,587
1038,Standard Flange Casing Bead ,10,75,30,52.7,1+,307.61,410.15,473.25,631
1050,Standard Flange Casing Bead,10,75,30,60.2,1+,318.34,424.45,489.75,653
105058,Window/Door Casing Bead,10,50,20,50.3,1+,498.88,997.76,767.5,1535
1050A,"Arched Casing Bead, 1/2""",10,75,20,77.7,1+,328.09,437.45,504.75,673
1050DB,"Color Termination Bead, 1 3/4""",10,75,,63.9,1+,408.04,544.05,627.75,837
1050TAN,"Color Termination Bead, 1 3/4""",10,75,20,67.7,1+,388.54,518.05,597.75,797
1050UCB,Ultra Casing Bead w/ Built-In ,10,75,,82.5,1+,658.13,877.51,1012.5,1350
1050UCBGRAY,"Ultra Casing Bead 1 3/4"" x 1/2",10,75,20,82.5,1+,722.96,963.95,1112.25,1483
1050WP,Standard Flange Casing Bead,10,75,20,57.2,1+,318.34,424.45,489.75,653
1050X,Narrow Flange Casing Bead,10,75,20,49.7,1+,288.6,384.8,444,592
1050XL,"Casing Bead w/ 5"" Flange, 1/2""",10,40,,65.3,1+,420.42,1051.05,646.8,1617
1058,Standard Flange Casing Bead,10,75,30,50.4,1+,325.65,434.2,501,668
1058-50WP,Window/Door Casing Bead ,10,50,20,50.3,1+,502.45,1004.9,773,1546
1058A,"Arched Casing Bead, 5/8""",10,75,,61,1+,336.38,448.51,517.5,690
1058WP,Standard Flange Casing Bead,10,75,20,61,1+,325.65,434.2,501,668
1058X,Narrow Flange Casing Bead,10,75,,49.7,1+,295.91,394.55,455.25,607
1058XL,"Casing Bead w/ 5"" Flange, 5/8""",10,40,20,79.3,1+,466.96,1167.4,718.4,1796
1075,Standard Flange Casing Bead,10,75,20,72.2,1+,351.98,469.31,541.5,722
1075A,"Arched Casing Bead, 3/4""",10,75,20,72.2,1+,381.71,508.95,587.25,783
1075DE,Drip Edge for Exterior Opening,10,100,,114.7,1+,534.3,534.3,822,822
1075TAN,"Color Termination Bead, 1 3/4""",10,75,,64.7,1+,429,572,660,880
1075UCB,Ultra Casing Bead w/ Built-In,10,75,20,82.5,1+,673.73,898.31,1036.5,1382
